aggregation,source,source_role,generation_seed,baseline,api_group,category,n_total,n_known,n_true,n_false,n_unknown,failure_rate_known,failure_rate_total_lower_bound
baseline,campaign_combined,campaign_combined,__ALL__,B2,__ALL__,timeout,240,240,0,240,0,0.0,0.0
baseline,campaign_combined,campaign_combined,__ALL__,B2,__ALL__,missing_oracle,240,140,6,134,100,0.04285714285714286,0.025
baseline,campaign_combined,campaign_combined,__ALL__,B2,__ALL__,oracle_not_executed,240,140,113,27,100,0.8071428571428572,0.4708333333333333
baseline,campaign_combined,campaign_combined,__ALL__,B2,__ALL__,fake_assertion,240,140,4,136,100,0.02857142857142857,0.016666666666666666
baseline,campaign_combined,campaign_combined,__ALL__,B2,__ALL__,broad_exception_swallowing,240,140,1,139,100,0.007142857142857143,0.004166666666666667
baseline,campaign_combined,campaign_combined,__ALL__,B2,__ALL__,target_not_executed,240,140,118,22,100,0.8428571428571429,0.49166666666666664
baseline,campaign_combined,campaign_combined,__ALL__,B2,__ALL__,truncated_generation,240,240,219,21,0,0.9125,0.9125
baseline,campaign_combined,campaign_combined,__ALL__,B2,__ALL__,nondeterministic_failure,240,0,0,0,240,,0.0
baseline,campaign_combined,campaign_combined,__ALL__,B3,__ALL__,syntax_error,240,240,235,5,0,0.9791666666666666,0.9791666666666666
baseline,campaign_combined,campaign_combined,__ALL__,B3,__ALL__,wrong_or_missing_target_api,240,5,0,5,235,0.0,0.0
baseline,campaign_combined,campaign_combined,__ALL__,B3,__ALL__,missing_import,240,5,0,5,235,0.0,0.0
baseline,campaign_combined,campaign_combined,__ALL__,B3,__ALL__,shape_or_dtype_error,240,5,0,5,235,0.0,0.0
baseline,campaign_combined,campaign_combined,__ALL__,B3,__ALL__,index_or_bounds_error,240,5,0,5,235,0.0,0.0
baseline,campaign_combined,campaign_combined,__ALL__,B3,__ALL__,undefined_name_error,240,5,1,4,235,0.2,0.004166666666666667
baseline,campaign_combined,campaign_combined,__ALL__,B3,__ALL__,argument_signature_error,240,5,0,5,235,0.0,0.0
baseline,campaign_combined,campaign_combined,__ALL__,B3,__ALL__,dependency_import_error,240,5,0,5,235,0.0,0.0
baseline,campaign_combined,campaign_combined,__ALL__,B3,__ALL__,setup_or_environment_error,240,5,0,5,235,0.0,0.0
baseline,campaign_combined,campaign_combined,__ALL__,B3,__ALL__,resource_exhaustion,240,5,0,5,235,0.0,0.0
baseline,campaign_combined,campaign_combined,__ALL__,B3,__ALL__,runtime_error_other,240,5,0,5,235,0.0,0.0
baseline,campaign_combined,campaign_combined,__ALL__,B3,__ALL__,assertion_failure,240,5,0,5,235,0.0,0.0
baseline,campaign_combined,campaign_combined,__ALL__,B3,__ALL__,timeout,240,240,0,240,0,0.0,0.0
baseline,campaign_combined,campaign_combined,__ALL__,B3,__ALL__,missing_oracle,240,5,5,0,235,1.0,0.020833333333333332
baseline,campaign_combined,campaign_combined,__ALL__,B3,__ALL__,oracle_not_executed,240,5,0,5,235,0.0,0.0
baseline,campaign_combined,campaign_combined,__ALL__,B3,__ALL__,fake_assertion,240,5,0,5,235,0.0,0.0
baseline,campaign_combined,campaign_combined,__ALL__,B3,__ALL__,broad_exception_swallowing,240,5,0,5,235,0.0,0.0
baseline,campaign_combined,campaign_combined,__ALL__,B3,__ALL__,target_not_executed,240,5,3,2,235,0.6,0.0125
baseline,campaign_combined,campaign_combined,__ALL__,B3,__ALL__,truncated_generation,240,240,240,0,0,1.0,1.0
baseline,campaign_combined,campaign_combined,__ALL__,B3,__ALL__,nondeterministic_failure,240,0,0,0,240,,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,autograd_transform_compile_and_export,syntax_error,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,autograd_transform_compile_and_export,wrong_or_missing_target_api,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,autograd_transform_compile_and_export,missing_import,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,autograd_transform_compile_and_export,shape_or_dtype_error,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,autograd_transform_compile_and_export,index_or_bounds_error,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,autograd_transform_compile_and_export,undefined_name_error,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,autograd_transform_compile_and_export,argument_signature_error,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,autograd_transform_compile_and_export,dependency_import_error,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,autograd_transform_compile_and_export,setup_or_environment_error,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,autograd_transform_compile_and_export,resource_exhaustion,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,autograd_transform_compile_and_export,runtime_error_other,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,autograd_transform_compile_and_export,assertion_failure,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,autograd_transform_compile_and_export,timeout,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,autograd_transform_compile_and_export,missing_oracle,24,24,24,0,0,1.0,1.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,autograd_transform_compile_and_export,oracle_not_executed,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,autograd_transform_compile_and_export,fake_assertion,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,autograd_transform_compile_and_export,broad_exception_swallowing,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,autograd_transform_compile_and_export,target_not_executed,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,autograd_transform_compile_and_export,truncated_generation,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,autograd_transform_compile_and_export,nondeterministic_failure,24,0,0,0,24,,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,convolution_and_pooling,syntax_error,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,convolution_and_pooling,wrong_or_missing_target_api,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,convolution_and_pooling,missing_import,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,convolution_and_pooling,shape_or_dtype_error,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,convolution_and_pooling,index_or_bounds_error,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,convolution_and_pooling,undefined_name_error,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,convolution_and_pooling,argument_signature_error,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,convolution_and_pooling,dependency_import_error,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,convolution_and_pooling,setup_or_environment_error,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,convolution_and_pooling,resource_exhaustion,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,convolution_and_pooling,runtime_error_other,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,convolution_and_pooling,assertion_failure,24,24,0,24,0,0.0,0.0
