source,source_role,baseline,api_group,category,n_total,n_known,n_true,n_false,n_unknown,failure_rate_known,wilson_95_low,wilson_95_high,observed_records,raw_records,duplicate_records,unidentified_records,expected_records,missing_records,coverage_rate
campaign_combined,campaign_combined,B0,indexing_gather_and_scatter,missing_import,24,24,0,24,0,0.0,1.3877787807814457e-17,0.13797620467498017,24,24,0,0,24,0,1.0
campaign_combined,campaign_combined,B0,indexing_gather_and_scatter,shape_or_dtype_error,24,24,0,24,0,0.0,1.3877787807814457e-17,0.13797620467498017,24,24,0,0,24,0,1.0
campaign_combined,campaign_combined,B0,indexing_gather_and_scatter,index_or_bounds_error,24,24,0,24,0,0.0,1.3877787807814457e-17,0.13797620467498017,24,24,0,0,24,0,1.0
campaign_combined,campaign_combined,B0,indexing_gather_and_scatter,undefined_name_error,24,24,0,24,0,0.0,1.3877787807814457e-17,0.13797620467498017,24,24,0,0,24,0,1.0
campaign_combined,campaign_combined,B0,indexing_gather_and_scatter,argument_signature_error,24,24,0,24,0,0.0,1.3877787807814457e-17,0.13797620467498017,24,24,0,0,24,0,1.0
campaign_combined,campaign_combined,B0,indexing_gather_and_scatter,dependency_import_error,24,24,0,24,0,0.0,1.3877787807814457e-17,0.13797620467498017,24,24,0,0,24,0,1.0
campaign_combined,campaign_combined,B0,indexing_gather_and_scatter,setup_or_environment_error,24,24,0,24,0,0.0,1.3877787807814457e-17,0.13797620467498017,24,24,0,0,24,0,1.0
campaign_combined,campaign_combined,B0,indexing_gather_and_scatter,resource_exhaustion,24,24,0,24,0,0.0,1.3877787807814457e-17,0.13797620467498017,24,24,0,0,24,0,1.0
campaign_combined,campaign_combined,B0,indexing_gather_and_scatter,runtime_error_other,24,24,0,24,0,0.0,1.3877787807814457e-17,0.13797620467498017,24,24,0,0,24,0,1.0
campaign_combined,campaign_combined,B0,indexing_gather_and_scatter,assertion_failure,24,24,0,24,0,0.0,1.3877787807814457e-17,0.13797620467498017,24,24,0,0,24,0,1.0
campaign_combined,campaign_combined,B0,indexing_gather_and_scatter,timeout,24,24,0,24,0,0.0,1.3877787807814457e-17,0.13797620467498017,24,24,0,0,24,0,1.0
campaign_combined,campaign_combined,B0,indexing_gather_and_scatter,missing_oracle,24,24,24,0,0,1.0,0.8620237953250198,1.0,24,24,0,0,24,0,1.0
campaign_combined,campaign_combined,B0,indexing_gather_and_scatter,oracle_not_executed,24,24,0,24,0,0.0,1.3877787807814457e-17,0.13797620467498017,24,24,0,0,24,0,1.0
campaign_combined,campaign_combined,B0,indexing_gather_and_scatter,fake_assertion,24,24,0,24,0,0.0,1.3877787807814457e-17,0.13797620467498017,24,24,0,0,24,0,1.0
campaign_combined,campaign_combined,B0,indexing_gather_and_scatter,broad_exception_swallowing,24,24,0,24,0,0.0,1.3877787807814457e-17,0.13797620467498017,24,24,0,0,24,0,1.0
campaign_combined,campaign_combined,B0,indexing_gather_and_scatter,target_not_executed,24,24,0,24,0,0.0,1.3877787807814457e-17,0.13797620467498017,24,24,0,0,24,0,1.0
campaign_combined,campaign_combined,B0,indexing_gather_and_scatter,truncated_generation,24,24,0,24,0,0.0,1.3877787807814457e-17,0.13797620467498017,24,24,0,0,24,0,1.0
campaign_combined,campaign_combined,B0,indexing_gather_and_scatter,nondeterministic_failure,24,0,0,0,24,,,,24,24,0,0,24,0,1.0
campaign_combined,campaign_combined,B0,linear_algebra,syntax_error,24,24,0,24,0,0.0,1.3877787807814457e-17,0.13797620467498017,24,24,0,0,24,0,1.0
campaign_combined,campaign_combined,B0,linear_algebra,wrong_or_missing_target_api,24,24,0,24,0,0.0,1.3877787807814457e-17,0.13797620467498017,24,24,0,0,24,0,1.0
campaign_combined,campaign_combined,B0,linear_algebra,missing_import,24,24,0,24,0,0.0,1.3877787807814457e-17,0.13797620467498017,24,24,0,0,24,0,1.0
campaign_combined,campaign_combined,B0,linear_algebra,shape_or_dtype_error,24,24,0,24,0,0.0,1.3877787807814457e-17,0.13797620467498017,24,24,0,0,24,0,1.0
campaign_combined,campaign_combined,B0,linear_algebra,index_or_bounds_error,24,24,0,24,0,0.0,1.3877787807814457e-17,0.13797620467498017,24,24,0,0,24,0,1.0
campaign_combined,campaign_combined,B0,linear_algebra,undefined_name_error,24,24,0,24,0,0.0,1.3877787807814457e-17,0.13797620467498017,24,24,0,0,24,0,1.0
campaign_combined,campaign_combined,B0,linear_algebra,argument_signature_error,24,24,0,24,0,0.0,1.3877787807814457e-17,0.13797620467498017,24,24,0,0,24,0,1.0
campaign_combined,campaign_combined,B0,linear_algebra,dependency_import_error,24,24,0,24,0,0.0,1.3877787807814457e-17,0.13797620467498017,24,24,0,0,24,0,1.0
